(más, 1 2 )
(pruebas, 2 )
(considerable, 3 )
(tres, 1 )
(hogwarts, 3 )
(completamente, 1 2 )
(atacando, 2 )
(repentino, 2 )
(pequeña, 3 )
(regalo, 1 )
(dado, 1 )
(viejas, 1 )
(hundido, 1 )
(varita, 2 )
(muerto, 1 )
(mientras, 3 )
(pulgadas, 1 )
(albus, 3 )
(algunos, 2 )
(pasar, 3 )
(releyó, 3 )
(dormida, 3 )
(bolsillo, 2 )
(clasificar, 2 )
(fragmento, 1 2 )
(pulverizado, 1 )
(porquería, 1 )
(ahora, 1 2 )
(–era, 2 )
(habitación, 3 )
(vieja, 1 2 )
(borde, 1 )
(muggle, 2 )
(arrodillándose, 1 )
(lechuza, 3 )
(verdes, 2 )
(puñado, 2 )
(diez, 3 )
(apilados, 2 )
(descubrimiento, 2 )
(ojos, 1 2 )
(firmada, 1 2 )
(apenas, 1 )
(llevó, 2 )
(cambiaba, 1 )
(hacia, 3 )
(luego, 2 )
(hizo, 3 )
(libros, 2 )
(dejo, 1 )
(antes, 1 )
(lado, 1 3 )
(renuncia, 3 )
(escarabajo, 1 )
(álbum, 2 )
(empacado, 1 )
(partir, 2 )
(algún, 2 )
(costado, 2 )
(levantó, 3 )
(empezó, 3 )
(velocidad, 3 )
(aminoró, 3 )
(inútiles, 2 )
(mayoría, 2 )
(habido, 3 )
(crimen, 2 )
(apesta”, 1 )
(diggory, 1 )
(flujo, 2 )
(cuartas, 1 )
(delantero, 2 )
(preguntaba, 2 )
(verano, 3 )
(hojear, 3 )
(hagrid, 2 )
(relicario, 1 2 )
(tirándolos, 3 )
(suelo, 3 )
(intentó, 2 )
(atrás, 1 2 )
(junto, 1 )
(pasado, 1 3 )
(sentó, 2 )
(como, 1 2 )
(dumbledore, 3 )
(esquina, 2 )
(era, 1 )
(yendo, 3 )
(poco, 3 )
(reemplazado, 1 )
(limitada, 3 )
(escolar, 1 )
(brillante, 1 )
(nota, 1 2 )
(tanteó, 1 )
(padrino, 1 )
(sangre, 1 )
(periódicos, 3 )
(disecados, 1 )
(esto, 3 )
(vaciando, 1 )
(fingía, 3 )
(después, 1 3 )
(largo, 1 )
(recordaba, 3 )
(prácticos, 2 )
(reflejados, 2 )
(chivatoscopio, 1 )
(escondida, 1 )
(tirar, 2 )
(ellos, 2 )
(movimiento, 3 )
(cosas, 2 )
(mañana, 1 2 )
(empacadas, 2 )
(privet, 3 )
(espejo, 1 2 )
(arena, 1 )
(fotos, 2 )
(esa, 1 2 )
(adhería, 1 )
(dos, 1 )
(internado, 1 )
(superiores, 1 )
(fondo, 1 3 )
(insignia, 1 )
(caldero, 2 )
(ver, 2 )
(ese, 2 3 )
(quemarlos, 2 )
(experimentando, 1 )
(sacarla, 1 )
(vidrio, 1 )
(horas, 2 )
(ropa, 2 )
(ejemplar, 3 )
(descubrió, 1 )
(vez, 1 2 )
(plumas, 1 2 )
(inútil, 2 )
(nevada, 3 )
(burbage, 3 )
(último, 1 )
(fajo, 3 )
(día, 3 )
(fueron, 2 )
(derecha, 1 )
(llegado, 3 )
(cuando, 3 )
(recuerdos, 2 )
(haber, 3 )
(honor, 2 )
(acercaba, 3 )
(pila, 3 )
(oro, 1 )
(estaba, 3 )
(necesitarlas, 2 )
(dedo, 1 )
(había, 1 2 3 )
(calcetines, 1 )
(derecho, 2 )
(primera, 1 3 )
(dolor, 1 )
(propios, 2 )
(cantidad, 3 )
(pedazo, 2 )
(restantes, 2 )
(noche, 2 )
